Date,sales
29-07-21,1900
30-07-21,1920
02-08-21,1930
03-08-21,1943
04-08-21,1944
05-08-21,1945
06-08-21,1957
10-08-21,1954
11-08-21,1951
12-08-21,1978
13-08-21,1975
16-08-21,1965
17-08-21,1967
18-08-21,1968
19-08-21,1964
20-08-21,1941
23-08-21,1958
24-08-21,1945
25-08-21,1959
26-08-21,1965
27-08-21,1976
30-08-21,1988
31-08-21,2007
01-09-21,1995
02-09-21,1985
03-09-21,1982
06-09-21,1970
07-09-21,1980
08-09-21,1979
09-09-21,1977
10-09-21,1970
13-09-21,1979
14-09-21,1980
15-09-21,1978
16-09-21,1965
17-09-21,1960
21-09-21,1939
22-09-21,1935
24-09-21,1940
27-09-21,1956
28-09-21,1962
29-09-21,1959
30-09-21,1965
01-10-21,1955
04-10-21,1950
05-10-21,1964
06-10-21,1953
07-10-21,1968
08-10-21,1984
11-10-21,1991
12-10-21,2000
13-10-21,1995
14-10-21,2001
15-10-21,1998
18-10-21,1980
19-10-21,1964
20-10-21,1987
21-10-21,1959
22-10-21,1958
25-10-21,1965
26-10-21,1967
27-10-21,1964
28-10-21,2022
29-10-21,1998
01-11-21,1976
02-11-21,1980
04-11-21,1971
05-11-21,1960
08-11-21,1974
09-11-21,1920
10-11-21,1915
11-11-21,1924
12-11-21,1940
15-11-21,1935
16-11-21,1930
17-11-21,1910
18-11-21,1869
19-11-21,1872
22-11-21,1898
24-11-21,1878
25-11-21,1868
26-11-21,1860
29-11-21,1844
30-11-21,1823
01-12-21,1830
02-12-21,1811
03-12-21,1846
06-12-21,1845
07-12-21,1864
08-12-21,1854
09-12-21,1822
10-12-21,1822
13-12-21,1831
14-12-21,1840
15-12-21,1847
16-12-21,1846
17-12-21,1828
20-12-21,1840
21-12-21,1835
22-12-21,1827
23-12-21,1839
24-12-21,1805
